PRODUCT UPLOAD  ·  Master Formulation Sheet,,,,,,,,,,,,,,,,,,,
One row per product. Fill in all available fields — leave blank anything unknown. Do not guess formulation details.,,,,,,,,,,,,,,,,,,,
productSource,clinic,productName,displayName,productId,category,subCategory,drugForm,drugStrength,directions,refills,deaSchedule,quantityUnitOfMeasure,rxQty,daysSupply,refrigerationType,price,vendorCost,encounterRequired,requireLabs
Greenwich,Regenerative Revival,Wiz - Tesamorelin 3mg/mL (3 Month Supply),Tesamorelin - 3 Month Supply,123235,Peptides,Injectable,injection,3mg/mL,"Inject 20 units subcutaneously nightly at bedtime for 5 days on, followed by 2 days off.",1,Unspecified,Injectable,15mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - Tesamorelin/Ipamorelin 3mg/2mg/mL (3 Month Supply),Tesamorelin/Ipamorelin - 3 Month Supply,123236,Peptides,Injectable,injection,3mg/2mg/mL,"Inject 20 units subcutaneously nightly at bedtime for 5 days on, followed by 2 days off.",1,Unspecified,Injectable,15mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - Sublingual Semaglutide 2mg/4mL - 3 Month Supply,Sublingual Semaglutide 2mg - 3 Month Supply,123255,Weight loss,GLP-1-Oral,sublingual,2mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,90.00,120.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Semaglutide 4mg/4mL - 3 Month Supply,Sublingual Semaglutide 4mg - 3 Month Supply,123256,Weight loss,GLP-1-Oral,sublingual,4mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,105.00,135.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Semaglutide 6mg/4mL - 3 Month Supply,Sublingual Semaglutide 6mg - 3 Month Supply,123257,Weight loss,GLP-1-Oral,sublingual,6mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,135.00,165.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Semaglutide 8mg/4mL - 3 Month Supply,Sublingual Semaglutide 8mg - 3 Month Supply,123258,Weight loss,GLP-1-Oral,sublingual,8mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,180.00,210.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Semaglutide 10mg/4mL - 3 Month Supply,Sublingual Semaglutide 10mg - 3 Month Supply,123259,Weight loss,GLP-1-Oral,sublingual,10mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,210.00,240.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Semaglutide 10mg/4mL - 2 Month Supply,Sublingual Semaglutide 10mg - 2 Month Supply,123259,Weight loss,GLP-1-Oral,sublingual,10mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",1,Unspecified,Troches,8mL,56,Non-Refrigerated,210.00,240.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Tirzepatide 5mg/4mL - 3 Month Supply,Sublingual Tirzepatide 5mg - 3 Month Supply,123256,Weight loss,GLP-1-Oral,sublingual,5mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,210.00,240.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Tirzepatide 10mg/4mL - 3 Month Supply,Sublingual Tirzepatide 10mg - 3 Month Supply,123257,Weight loss,GLP-1-Oral,sublingual,10mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,270.00,300.00,Yes,No
